Name,Title,Undergraduate College,Degree Year,Major,Stream,Terminal College,Terminal Degree Year,Terminal Major,Terminal Stream,Location,Current Job Title,Current Company,Join Date,Experience,First Listed Job Title,First Listed Company,First Company Join Date,First Company Experience
Daniel Solove,Professor GW Law School + CEO TeachPrivacy + Organizer Privacy+Security Forum,University of Science and Technology of China,2010 � 2014,Bachelor of Science - BS,Engineering Physics/Applied Physics,Yale University,2014 � 2020,Doctor of Philosophy - PhD,Electrical and Electronics Engineering,Washington District Of Columbia,Venture Development Associate,Yale Office of Cooperative Research,Sep 2018 � Present,1 yr 8 mos,N/A,N/A,N/A,N/A
Manas Punhani,Student at Yale SOM,Duke University,N/A,Duke Study in China Chinese Language Program,N/A,Yale School of Management,N/A,Master of Business Administration (MBA),N/A,New York City Metropolitan Area,Management Consultant,Oliver Wyman,2017 � 2019,2 yrs,Summer Intern,Deutsche Bank,2014,less than a year
Anna Troein,MBA Candidate at Yale School of Management,TASIS England,1996 � 2009,High School Diploma,N/A,Yale School of Management,2019 � 2021,Master of Business Administration - MBA,N/A,New Haven Connecticut,MBA Candidate,Yale School of Management,Aug 2019 � Present,9 mos,Art of Europe Department Intern,Museum of Fine Arts Boston,Jun 2013 � Aug 2013,3 mos
Lina Kacyem CPCU,MBA Candidate at Yale - School Of Management,Penn State University,2005 � 2009,Bachelor�s Degree,Marketing,Yale School of Management,2019 � 2021,Master of Business Administration - MBA,N/A,Smithtown New York,Venture Fellow,Blue Ivy Ventures,Jul 2019 � Present,10 mos,Marketing Intern,The Hartford,2008,less than a year
Lina Kacyem CPCU,MBA Candidate at Yale - School Of Management,Penn State University,2005 � 2009,Bachelor�s Degree,Marketing,Yale School of Management,2019 � 2021,Master of Business Administration - MBA,N/A,Smithtown New York,Venture Fellow,Blue Ivy Ventures,Jul 2019 � Present,10 mos,Marketing Intern,The Hartford,2008,less than a year
Maggie Shun,MBA Candidate at Yale School of Management,NYU Stern School of Business,2011 � 2015,Bachelor�s Degree,Business Administration,Yale School of Management,2019 � 2021,Master of Business Administration - MBA,N/A,New Haven Connecticut,M&E and Business Analytics Intern,Sanergy
        Internship,Apr 2020 � Present,1 mo,Microfinance Business Development Intern,Atikus,Jun 2013 � May 2014,1 yr
Lauren Harper,MBA Candidate at Yale School of Management,Southern Methodist University - Cox School of Business,2008 � 2012,Bachelor of Business Administration (BBA),Finance with a specialization in Alternative Assets,Yale School of Management,2018 � 2020,Master of Business Administration - MBA,Concentration in Management Science,Los Angeles California,Finance Product Summer Associate,AgriDigital,Jun 2019 � Aug 2019,3 mos,Intern,EnCap Investments,Jun 2011 � Aug 2011,3 mos
Elena Tej Grewal Ph.D.,Founder at Data 2 the People,Yale University,2002 � 2006,BA,Ethics Politics and Economics,Stanford University,2007 � 2012,Doctor of Philosophy (Ph.D.),Education,New York New York United States,Team Member Founder,Data 2 the People,Jan 2020 � Present,4 mos,Research Assistant,Stanford University Graduate School of Education,Sep 2006 � Sep 2007,1 yr 1 mo
Teresa Saraswati,MBA Candidate at Yale School of Management,SMAK 1 PENABUR Jakarta,2008 � 2011,High School,Natural Sciences,Yale School of Management,2019 � 2021,Master of Business Administration - MBA,N/A,Greater New York City Area,Blavatnik Fund for Innovation Associate,Yale University,Oct 2019 � Present,7 mos,Project Intern,PT. MRT Jakarta,Jun 2014 � Sep 2014,4 mos
